cluster_id,cluster_label,top_terms,total_arguments,known_outcomes,winners,losers,win_rate,win_rate_pct
0,ai / human / ethical,ai | human | ethical,2202,1717,844,873,0.49155503785672683,49.155503785672686
1,justice / moral / harm,justice | moral | harm,3000,2213,1102,1111,0.49796656122910077,49.79665612291008
2,users / risks / term,users | risks | term,3772,2885,1391,1494,0.4821490467937608,48.21490467937608
3,sustainability / term / sustainability demands,sustainability | term | sustainability demands,1027,769,389,380,0.505851755526658,50.585175552665795
4,ethical / professionalism / truthfulness,ethical | professionalism | truthfulness,2291,1796,872,924,0.48552338530066813,48.55233853006681
5,action / value / choice,action | value | choice,1238,1001,519,482,0.5184815184815185,51.84815184815184
6,privacy / data / ethical,privacy | data | ethical,2448,1906,999,907,0.5241343126967472,52.41343126967472
7,cooperation / trust / communication,cooperation | trust | communication,1328,1063,543,520,0.510818438381938,51.0818438381938
8,creativity / creativity thrives / innovation,creativity | creativity thrives | innovation,1594,1159,536,623,0.4624676445211389,46.246764452113894
9,care / harm / protection,care | harm | protection,2100,1641,796,845,0.4850700792199878,48.50700792199878
