group,base_folder,v2_folder,model_1,model_2,model_1_label,model_2_label,sample_count,valid_sample_count,consensus_sample_count,model_1_win_count,model_2_win_count,consensus_count,persuasion_score,morality_bias
reasoning_gpt_oss-20b_gpt_oss-20b,reasoning_gpt_oss-20b_gpt_oss-20b,,openai/gpt-oss-20b,openai/gpt-oss-20b,GPT-Oss 20B,GPT-Oss 20B,295,295,0,295,0,0,100.0000,
reasoning_gemma-3-12b-it_gpt_oss-20b,reasoning_gemma-3-12b-it_gpt_oss-20b,reasoning_gemma-3-12b-it_gpt_oss-20b_v2,google/gemma-3-12b-it,openai/gpt-oss-20b,Gemma 3 12B,GPT-Oss 20B,715,715,567,324,391,162,-9.3706,28.5714
reasoning_gemma-3-12b-it_gemma-3-12b-it,reasoning_gemma-3-12b-it_gemma-3-12b-it,,google/gemma-3-12b-it,google/gemma-3-12b-it,Gemma 3 12B,Gemma 3 12B,595,595,0,595,0,0,100.0000,
reasoning_gemma-3-12b-it_llama3.1-8b,reasoning_gemma-3-12b-it_llama3.1-8b,reasoning_gemma-3-12b-it_llama3.1-8b_v2,google/gemma-3-12b-it,meta-llama/Llama-3.1-8B-Instruct,Gemma 3 12B,Llama 3.1 8B,811,811,721,331,480,269,-18.3724,37.3093
reasoning_gemma-3-12b-it_qwen3-8b,reasoning_gemma-3-12b-it_qwen3-8b,reasoning_gemma-3-12b-it_qwen3-8b_v2,google/gemma-3-12b-it,Qwen/Qwen3-8B,Gemma 3 12B,Qwen3 8B,767,767,662,349,418,206,-8.9961,31.1178
reasoning_llama3.1-8b_gpt_oss-20b,reasoning_llama3.1-8b_gpt_oss-20b,reasoning_llama3.1-8b_gpt_oss-20b_v2,meta-llama/Llama-3.1-8B-Instruct,openai/gpt-oss-20b,Llama 3.1 8B,GPT-Oss 20B,716,716,586,304,412,301,-15.0838,51.3652
reasoning_llama3.1-8b_llama3.1-8b,reasoning_llama3.1-8b_llama3.1-8b,,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,Llama 3.1 8B,Llama 3.1 8B,856,856,0,856,0,0,100.0000,
reasoning_qwen3-8b_llama3.1-8b,reasoning_qwen3-8b_llama3.1-8b,reasoning_qwen3-8b_llama3.1-8b_v2,meta-llama/Llama-3.1-8B-Instruct,Qwen/Qwen3-8B,Llama 3.1 8B,Qwen3 8B,559,559,337,228,331,146,-18.4258,43.3234
reasoning_qwen3-8b_gpt_oss-20b,reasoning_qwen3-8b_gpt_oss-20b,reasoning_qwen3-8b_gpt_oss-20b_v2,Qwen/Qwen3-8B,openai/gpt-oss-20b,Qwen3 8B,GPT-Oss 20B,543,543,340,209,334,89,-23.0203,26.1765
reasoning_qwen3-8b_qwen3-8b,reasoning_qwen3-8b_qwen3-8b,,Qwen/Qwen3-8B,Qwen/Qwen3-8B,Qwen3 8B,Qwen3 8B,822,822,0,822,0,0,100.0000,
