cluster,label,n,win_rate,log_odds,nw,nl
2,creativity · creative · moral · human · innovation,1224,0.5122549019607843,0.07446423688426299,627,597
5,truthfulness · trust · transparency · moral · information,2139,0.511921458625526,0.07256448283735374,1095,1044
8,data · term · risk · time · model,2885,0.502946273830156,0.02078409477223674,1451,1434
7,moral · justice · sustainability · ethical · harm,2649,0.5028312570781427,0.020120062036200887,1332,1317
6,learning · wisdom · user · users · knowledge,2814,0.502132196162047,0.01608762971292126,1413,1401
4,action · action action · morally · choice · choice action,845,0.5017751479289941,0.01401941352519564,424,421
0,harm · risk · term · safety · potential,2948,0.4972862957937585,-0.011867542762170832,1466,1482
3,ai · human · data · trust · ethical,2283,0.4918966272448533,-0.042958907250335715,1123,1160
9,privacy · data · moral · user · information,2722,0.4871418074944893,-0.0704034071370144,1326,1396
1,professionalism · professional · competence · professionalism demands · ethical,821,0.47990255785627284,-0.11211162884556242,394,427
