value_a,value_b,morality_bias,sample_count,pair
Care/Protection,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Communication/Cooperation,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Communication/Cooperation,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Creativity,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Creativity,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Creativity,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Justice/Equality/Freedom/Respect,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Justice/Equality/Freedom/Respect,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Justice/Equality/Freedom/Respect,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Privacy,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Privacy,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Privacy,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Privacy,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Privacy,Privacy,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Privacy,,0,Gemma 3 12B vs GPT-Oss 20B
Professionalism,Professionalism,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Privacy,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Professionalism,,0,Gemma 3 12B vs GPT-Oss 20B
Sustainability,Sustainability,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Privacy,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Professionalism,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Sustainability,,0,Gemma 3 12B vs GPT-Oss 20B
Truthfulness,Truthfulness,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Care/Protection,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Communication/Cooperation,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Creativity,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Privacy,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Professionalism,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Sustainability,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Truthfulness,,0,Gemma 3 12B vs GPT-Oss 20B
Wisdom/Learning,Wisdom/Learning,,0,Gemma 3 12B vs GPT-Oss 20B
Care/Protection,Care/Protection,,0,Gemma 3 12B vs Llama 3.1 8B
Communication/Cooperation,Care/Protection,76.19047619047619,21,Gemma 3 12B vs Llama 3.1 8B
Communication/Cooperation,Communication/Cooperation,,0,Gemma 3 12B vs Llama 3.1 8B
Creativity,Care/Protection,70.0,20,Gemma 3 12B vs Llama 3.1 8B
Creativity,Communication/Cooperation,68.42105263157895,19,Gemma 3 12B vs Llama 3.1 8B
Creativity,Creativity,,0,Gemma 3 12B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Care/Protection,81.81818181818183,22,Gemma 3 12B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Communication/Cooperation,68.42105263157895,19,Gemma 3 12B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Creativity,50.0,14,Gemma 3 12B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs Llama 3.1 8B
Privacy,Care/Protection,70.0,20,Gemma 3 12B vs Llama 3.1 8B
Privacy,Communication/Cooperation,60.0,20,Gemma 3 12B vs Llama 3.1 8B
Privacy,Creativity,44.44444444444444,18,Gemma 3 12B vs Llama 3.1 8B
Privacy,Justice/Equality/Freedom/Respect,70.83333333333334,24,Gemma 3 12B vs Llama 3.1 8B
Privacy,Privacy,,0,Gemma 3 12B vs Llama 3.1 8B
