cluster_id,cluster_label,top_terms,total_arguments,known_outcomes,winners,losers,win_rate,win_rate_pct
-1,Noise / Unassigned,,7192,6454,3250,3204,0.503563681437868,50.3563681437868
0,action action / action / hear,action action | action | hear,103,99,48,51,0.48484848484848486,48.484848484848484
1,action action / action / ethical responsible,action action | action | ethical responsible,66,63,31,32,0.49206349206349204,49.2063492063492
2,professionalism / professionalism demands / competence,professionalism | professionalism demands | competence,726,652,327,325,0.5015337423312883,50.15337423312884
3,ai / human / data,ai | human | data,2690,2461,1215,1246,0.4937017472572125,49.37017472572125
4,action / morally / choice,action | morally | choice,940,855,432,423,0.5052631578947369,50.526315789473685
5,privacy / students / data,privacy | students | data,95,81,35,46,0.43209876543209874,43.20987654320987
6,standings / investigations / provisional,standings | investigations | provisional,47,37,23,14,0.6216216216216216,62.16216216216216
7,teams / play / league,teams | play | league,45,43,31,12,0.7209302325581395,72.09302325581395
8,participants / predictive / experiment,participants | predictive | experiment,34,25,16,9,0.64,64.0
9,needles / sustainability / clean needles,needles | sustainability | clean needles,47,46,28,18,0.6086956521739131,60.86956521739131
10,bias / data / justice,bias | data | justice,132,116,52,64,0.4482758620689655,44.827586206896555
11,diplomatic / conflict / threats,diplomatic | conflict | threats,41,37,17,20,0.4594594594594595,45.94594594594595
12,cooperation / communication / cooperative,cooperation | communication | cooperative,295,276,140,136,0.5072463768115942,50.72463768115942
13,regulatory / compliance / legal,regulatory | compliance | legal,38,36,16,20,0.4444444444444444,44.44444444444444
14,wisdom learning / wisdom / learning,wisdom learning | wisdom | learning,49,44,20,24,0.45454545454545453,45.45454545454545
15,wisdom / wisdom merely / wisdom requires,wisdom | wisdom merely | wisdom requires,326,291,147,144,0.5051546391752577,50.51546391752577
16,user / disclaimer / content,user | disclaimer | content,41,31,15,16,0.4838709677419355,48.38709677419355
17,content / platform / moderation,content | platform | moderation,204,192,98,94,0.5104166666666666,51.041666666666664
18,child / police / domestic,child | police | domestic,43,41,21,20,0.5121951219512195,51.21951219512195
19,truthfulness / truthfulness demands / moral,truthfulness | truthfulness demands | moral,661,575,306,269,0.5321739130434783,53.21739130434783
20,wallet / claimant / returning,wallet | claimant | returning,31,31,13,18,0.41935483870967744,41.935483870967744
21,privacy / data / patients,privacy | data | patients,131,126,53,73,0.42063492063492064,42.06349206349206
22,users / moral / care protection,users | moral | care protection,35,31,15,16,0.4838709677419355,48.38709677419355
23,respect / heritage / cultural,respect | heritage | cultural,71,68,40,28,0.5882352941176471,58.82352941176471
24,fraud / legal / reputational,fraud | legal | reputational,60,51,24,27,0.47058823529411764,47.05882352941176
25,deception / truthfulness / trust,deception | truthfulness | trust,210,194,101,93,0.520618556701031,52.0618556701031
26,disclosure / planned / deception,disclosure | planned | deception,45,42,21,21,0.5,50.0
27,trust / trust built / built,trust | trust built | built,293,255,124,131,0.48627450980392156,48.627450980392155
28,transparency / trust / trust transparency,transparency | trust | trust transparency,65,59,26,33,0.4406779661016949,44.06779661016949
29,transparency / transparency does / does,transparency | transparency does | does,118,106,53,53,0.5,50.0
30,accountability / oversight / transparency,accountability | oversight | transparency,88,78,39,39,0.5,50.0
31,inventor / open / revenue,inventor | open | revenue,224,185,82,103,0.44324324324324327,44.32432432432433
32,governance / leadership / model,governance | leadership | model,105,95,55,40,0.5789473684210527,57.89473684210527
33,ethical / stakeholders / future generations,ethical | stakeholders | future generations,57,51,22,29,0.43137254901960786,43.13725490196079
34,innovation / experimentation / creative,innovation | experimentation | creative,107,100,52,48,0.52,52.0
35,self harm / mental health / mental,self harm | mental health | mental,39,39,11,28,0.28205128205128205,28.205128205128204
36,gamification / motivation / engagement,gamification | motivation | engagement,33,28,14,14,0.5,50.0
37,cultural / tradition / archive,cultural | tradition | archive,64,63,41,22,0.6507936507936508,65.07936507936508
38,beginners / children / traditional,beginners | children | traditional,53,50,33,17,0.66,66.0
39,mentor / mentee / player,mentor | mentee | player,66,65,28,37,0.4307692307692308,43.07692307692308
40,learning / students / student,learning | students | student,646,609,318,291,0.5221674876847291,52.21674876847291
41,innovation / innovate / moral,innovation | innovate | moral,32,29,16,13,0.5517241379310345,55.172413793103445
42,research / cancer / breakthroughs,research | cancer | breakthroughs,77,68,29,39,0.4264705882352941,42.64705882352941
43,whistleblower / privacy / anonymity,whistleblower | privacy | anonymity,96,57,23,34,0.40350877192982454,40.35087719298245
44,privacy / data / personal,privacy | data | personal,1794,1525,750,775,0.4918032786885246,49.18032786885246
45,artists / artist / platform,artists | artist | platform,94,93,48,45,0.5161290322580645,51.61290322580645
46,justice / justice demands / demands,justice | justice demands | demands,488,435,214,221,0.49195402298850577,49.195402298850574
47,moral / ethical / human,moral | ethical | human,48,42,23,19,0.5476190476190477,54.761904761904766
48,communication cooperation / communication / cooperation,communication cooperation | communication | cooperation,120,105,43,62,0.4095238095238095,40.95238095238095
49,scientific / data / empirical,scientific | data | empirical,92,88,43,45,0.48863636363636365,48.86363636363637
50,humor / sarcasm / tone,humor | sarcasm | tone,79,76,25,51,0.32894736842105265,32.89473684210527
51,attraction / engagement / engagement metrics,attraction | engagement | engagement metrics,54,47,22,25,0.46808510638297873,46.808510638297875
52,creativity / creative / creativity thrives,creativity | creative | creativity thrives,278,246,121,125,0.491869918699187,49.1869918699187
53,empathy / empathic / emotional,empathy | empathic | emotional,54,49,26,23,0.5306122448979592,53.06122448979592
54,emotional / support / withdrawal,emotional | support | withdrawal,58,56,39,17,0.6964285714285714,69.64285714285714
55,creativity / creativity moral / moral,creativity | creativity moral | moral,85,78,37,41,0.47435897435897434,47.43589743589743
56,creativity / moral / novel,creativity | moral | novel,70,62,39,23,0.6290322580645161,62.903225806451616
57,user / traveler / users,user | traveler | users,125,100,45,55,0.45,45.0
58,concise / users / simplified,concise | users | simplified,125,119,60,59,0.5042016806722689,50.42016806722689
59,profanity / language / synonyms,profanity | language | synonyms,74,74,37,37,0.5,50.0
60,harm / risk / unintended,harm | risk | unintended,34,29,10,19,0.3448275862068966,34.48275862068966
61,linguistic / language / hybrid,linguistic | language | hybrid,64,63,33,30,0.5238095238095238,52.38095238095239
62,language / pirate / linguistic,language | pirate | linguistic,37,37,18,19,0.4864864864864865,48.64864864864865
63,grammatical / action / support action,grammatical | action | support action,35,33,13,20,0.3939393939393939,39.39393939393939
64,autonomy / freedom / right,autonomy | freedom | right,153,138,75,63,0.5434782608695652,54.347826086956516
65,journal / translation / language,journal | translation | language,33,33,12,21,0.36363636363636365,36.36363636363637
66,translator / translation / interpreter,translator | translation | interpreter,118,118,69,49,0.5847457627118644,58.47457627118644
67,precautionary principle / precautionary / principle,precautionary principle | precautionary | principle,64,54,32,22,0.5925925925925926,59.25925925925925
68,risk / bounded / term,risk | bounded | term,115,97,47,50,0.4845360824742268,48.45360824742268
69,delay / volatility / market,delay | volatility | market,46,44,19,25,0.4318181818181818,43.18181818181818
70,aicoin / cryptocurrency / market,aicoin | cryptocurrency | market,83,80,32,48,0.4,40.0
71,term / long term / long,term | long term | long,44,43,22,21,0.5116279069767442,51.162790697674424
72,patients / patient / care,patients | patient | care,41,40,21,19,0.525,52.5
73,sustainability / sustainability demands / term,sustainability | sustainability demands | term,610,557,282,275,0.5062836624775583,50.62836624775583
74,patients / patient / consent,patients | patient | consent,153,149,73,76,0.4899328859060403,48.99328859060403
75,patients / patient / medical,patients | patient | medical,207,198,87,111,0.4393939393939394,43.93939393939394
76,audit / quantum / logs,audit | quantum | logs,64,52,22,30,0.4230769230769231,42.30769230769231
77,moral / calculus / moral calculus,moral | calculus | moral calculus,100,83,37,46,0.4457831325301205,44.57831325301205
78,inaction / harm / cost inaction,inaction | harm | cost inaction,68,60,26,34,0.43333333333333335,43.333333333333336
79,leak / diplomatic / leaders,leak | diplomatic | leaders,58,49,25,24,0.5102040816326531,51.02040816326531
80,principle non / maleficence / non maleficence,principle non | maleficence | non maleficence,51,46,23,23,0.5,50.0
81,vulnerability / patch / disclosure,vulnerability | patch | disclosure,68,64,38,26,0.59375,59.375
82,security / patch / sandbox,security | patch | sandbox,166,138,70,68,0.5072463768115942,50.72463768115942
83,shutdown / outage / disaster,shutdown | outage | disaster,354,300,157,143,0.5233333333333333,52.33333333333333
84,care / harm / duty care,care | harm | duty care,56,42,18,24,0.42857142857142855,42.857142857142854
85,care protection / protection / care,care protection | protection | care,183,151,76,75,0.5033112582781457,50.331125827814574
86,energy / emissions / solar,energy | emissions | solar,94,88,38,50,0.4318181818181818,43.18181818181818
87,traffic / emissions / energy,traffic | emissions | energy,70,63,25,38,0.3968253968253968,39.682539682539684
88,traffic / pedestrian / vehicle,traffic | pedestrian | vehicle,60,59,26,33,0.4406779661016949,44.06779661016949
89,learning / data / algorithm,learning | data | algorithm,220,203,95,108,0.46798029556650245,46.79802955665024
90,legacy / protocol / parallel,legacy | protocol | parallel,109,89,57,32,0.6404494382022472,64.04494382022472
